R_kpc,V_baryon,V_total_H1,V_total_H2,dV_H2_minus_H1,L_eff_kpc,galaxy,L0_kpc,mu,kernel,basis_L_min_kpc,basis_L_max_kpc,outer_rfrac,outer_tol_kms,outer_max_abs_dV_kms,outer_pass,strict_radii
0.28508332371711725,10.704321861267088,55.292919410549615,55.28802557192358,-0.004893838626031766,199.99961619605665,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
0.8552500009536742,18.540428161621094,95.7701495926642,96.15128574847331,0.3811361558091164,70.19657549627557,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
1.4254167079925537,27.383604049682617,115.2988566815654,115.76356421576605,0.4647075342006559,66.66666666666667,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
1.9955832958221436,33.95249938964844,121.65876893726151,121.98460714815002,0.32583821088850584,109.91060863335962,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
2.5657501220703125,39.40387344360352,130.54537043045545,130.7599482212774,0.2145777908219486,140.81385468833096,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
3.1359167098999023,44.09905242919922,140.39177425838935,140.54575239403286,0.15397813564351281,160.28656850547193,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
3.706083297729492,48.35133361816406,143.64961672736027,143.65691542699764,0.007298699637374284,196.00315898396084,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
4.276249885559082,51.58572769165039,140.39368122994057,140.5073485649485,0.11366733500793202,171.03639405745653,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
4.846416473388672,54.51500701904297,143.7875700534034,143.97638604524425,0.18881599184084052,153.19220971507488,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
5.41658353805542,56.57910919189453,142.78443743581053,143.01881629536237,0.234378859551839,140.4946296610697,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
5.98675012588501,58.48804473876953,141.37463462451873,141.6005038102737,0.2258691857549593,140.95989050214666,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
6.5569167137146,60.1084098815918,140.7702976025088,141.00973041403515,0.239432811526342,133.17431647437755,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
7.127083301544189,61.18243789672852,138.4477945752274,138.7120252357323,0.2642306605049214,125.9817865821462,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
7.6972503662109375,62.005157470703125,136.79722179796585,137.0883241716004,0.29110237363454416,120.0971070077284,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
8.267416954040526,62.31633758544922,131.9532236635328,132.19964290638362,0.24641924285080563,129.31054050169516,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
8.837583541870117,63.52307891845703,132.37711782353273,132.60653916725573,0.22942134372300416,129.96724440132377,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
9.407750129699709,63.500762939453125,129.1607845769296,129.42888464997932,0.2681000730497374,116.86865281127014,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
9.977916717529297,63.62166213989258,125.42567302963968,125.67910140781352,0.2534283781738367,118.32368358019392,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
10.548084259033203,63.463375091552734,122.10631387187816,122.33438892923141,0.2280750573532515,120.73392769466945,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
11.118249893188477,63.5806770324707,119.76777796119026,119.96279655354489,0.1950185923546286,129.90419361452695,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
11.688417434692383,63.66535568237305,118.6544316273632,118.79397894050878,0.13954731314558444,152.61919042048953,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
12.258583068847656,63.2000846862793,114.54981671137936,114.5740609568399,0.024244245460536717,192.55494514388917,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
12.828750610351562,62.95011901855469,111.55884200771676,111.562248831094,0.0034068233772330814,199.4540681036502,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
13.398916244506836,62.25634765625,108.87591531187515,108.87963952138524,0.0037242095100964434,199.96364778287,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
13.969083786010742,61.96364974975586,105.56827536967492,105.56946334201335,0.001187972338428267,199.9977324398704,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
14.539249420166016,61.501819610595696,103.48430485656051,103.48740415742701,0.003099300866495014,199.9998543166589,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
15.10941696166992,61.30553817749024,101.14291801877447,101.13231660704531,-0.010601411729155075,199.99998989403423,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
15.679583549499512,60.48957443237305,98.7065852518858,98.72863769660944,0.02205244472364143,199.99999925102705,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
16.2497501373291,59.57622528076172,95.24416570891432,95.26180267343489,0.017636964520562515,199.9999999538316,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
16.819915771484375,59.20720291137695,92.57623983556843,92.57169342041568,-0.004546415152745453,199.9999999972432,F571-8,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.024244245460536717,1,0
