Galaxy,Regime,n_inner_points,nfw_sigma_baseline,nfw_max_abs_delta_sigma_harmonized,metric_status,notes
D564-8,balanced,3,0.172726,0.092089,valid,"NFW fit: V200=36.5 km/s, C200=5.27, rs=9.49 kpc; max perturbation scenario: delta_sigma_mass_p20"
DDO064,baryon-dom,8,0.115872,0.088457,valid,"NFW fit: V200=47.8 km/s, C200=7.88, rs=8.30 kpc; max perturbation scenario: delta_sigma_mass_p20"
DDO154,DM-dom,5,0.095158,0.072236,valid,"NFW fit: V200=49.2 km/s, C200=5.83, rs=11.55 kpc; max perturbation scenario: delta_sigma_mass_p20"
DDO161,baryon-dom,16,0.163286,0.079877,valid,"NFW fit: V200=61.5 km/s, C200=6.24, rs=13.50 kpc; max perturbation scenario: delta_sigma_mass_p20"
DDO170,balanced,3,0.108757,0.087491,valid,"NFW fit: V200=52.6 km/s, C200=7.51, rs=9.59 kpc; max perturbation scenario: delta_sigma_mass_p20"
F563-1,DM-dom,10,0.122003,0.066594,valid,"NFW fit: V200=70.7 km/s, C200=7.41, rs=13.07 kpc; max perturbation scenario: delta_sigma_mass_m20"
F565-V2,DM-dom,3,0.149665,0.090765,valid,"NFW fit: V200=59.3 km/s, C200=8.65, rs=9.39 kpc; max perturbation scenario: delta_sigma_mass_p20"
F567-2,baryon-dom,2,0.240700,0.094429,insufficient_inner_points,"NFW fit: V200=67.8 km/s, C200=8.94, rs=10.38 kpc; max perturbation scenario: delta_sigma_mass_m20"
F568-3,balanced,12,0.119716,0.030718,valid,"NFW fit: V200=87.9 km/s, C200=3.86, rs=31.23 kpc; max perturbation scenario: delta_sigma_mass_p20"
F568-V1,DM-dom,11,0.095079,0.050535,valid,"NFW fit: V200=77.0 km/s, C200=11.17, rs=9.45 kpc; max perturbation scenario: delta_sigma_mass_m20"
F571-8,balanced,10,0.274651,0.038654,valid,"NFW fit: V200=152.2 km/s, C200=7.17, rs=29.05 kpc; max perturbation scenario: delta_sigma_mass_p20"
F583-1,balanced,22,0.135451,0.054085,valid,"NFW fit: V200=68.9 km/s, C200=6.01, rs=15.70 kpc; max perturbation scenario: delta_sigma_mass_p20"
IC2574,baryon-dom,15,0.073247,0.037556,valid,"NFW fit: V200=78.6 km/s, C200=1.00, rs=107.59 kpc; max perturbation scenario: delta_sigma_mass_p20"
KK98-251,balanced,8,0.204918,0.089493,valid,"NFW fit: V200=41.1 km/s, C200=4.71, rs=11.96 kpc; max perturbation scenario: delta_sigma_mass_m20"
NGC0024,baryon-dom,25,0.068209,0.033450,valid,"NFW fit: V200=85.5 km/s, C200=9.16, rs=12.79 kpc; max perturbation scenario: delta_sigma_mass_m20"
NGC0100,baryon-dom,11,0.181018,0.061924,valid,"NFW fit: V200=78.9 km/s, C200=7.11, rs=15.20 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC0247,DM-dom,12,0.035461,0.075462,valid,"NFW fit: V200=90.8 km/s, C200=5.92, rs=20.98 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC0891,baryon-dom,8,0.201956,0.023597,valid,"NFW fit: V200=137.8 km/s, C200=16.73, rs=11.29 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC1003,baryon-dom,17,0.065942,0.056269,valid,"NFW fit: V200=106.4 km/s, C200=4.66, rs=31.27 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC1090,balanced,12,0.173568,0.033011,valid,"NFW fit: V200=117.1 km/s, C200=9.11, rs=17.61 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC2403,DM-dom,52,0.130150,0.065653,valid,"NFW fit: V200=91.7 km/s, C200=17.99, rs=6.98 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC2903,baryon-dom,20,0.250173,0.026495,valid,"NFW fit: V200=111.4 km/s, C200=24.98, rs=6.11 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC2955,DM-dom,18,0.115898,0.025300,valid,"NFW fit: V200=196.7 km/s, C200=8.35, rs=32.26 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC2976,baryon-dom,15,0.147594,0.030732,valid,"NFW fit: V200=74.8 km/s, C200=4.49, rs=22.81 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC2998,baryon-dom,8,0.097459,0.006690,valid,"NFW fit: V200=146.2 km/s, C200=8.79, rs=22.77 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC3198,baryon-dom,31,0.147820,0.042804,valid,"NFW fit: V200=111.1 km/s, C200=9.96, rs=15.29 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC3521,baryon-dom,37,0.122433,0.015225,valid,"NFW fit: V200=205.1 km/s, C200=5.97, rs=47.02 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC3726,baryon-dom,8,0.134397,0.036891,valid,"NFW fit: V200=139.0 km/s, C200=5.69, rs=33.49 kpc; max perturbation scenario: delta_sigma_mass_p20"
