Galaxy,Regime,mond_variant,sigma_baseline,n_inner_points,inner_region_defined,perturbation_label,delta_sigma,V_bar_over_V_MOND_inner_median,notes,max_abs_delta_sigma
NGC6946,baryon-dom,g_dag,0.067923,29,Y,gdag_p10,0.004934,0.8374,,0.033351
NGC6946,baryon-dom,g_dag,0.067923,29,Y,gdag_m10,-0.005189,0.8374,,0.033351
NGC6946,baryon-dom,g_dag,0.067923,29,Y,gdag_p20,0.009627,0.8374,,0.033351
NGC6946,baryon-dom,g_dag,0.067923,29,Y,gdag_m20,-0.010639,0.8374,,0.033351
NGC6946,baryon-dom,Ydisk,0.067923,29,Y,Ydisk_p10,0.011476,0.8374,,0.033351
NGC6946,baryon-dom,Ydisk,0.067923,29,Y,Ydisk_m10,-0.011975,0.8374,,0.033351
NGC6946,baryon-dom,Ydisk,0.067923,29,Y,Ydisk_p20,0.022384,0.8374,,0.033351
NGC6946,baryon-dom,Ydisk,0.067923,29,Y,Ydisk_m20,-0.024132,0.8374,,0.033351
NGC6946,baryon-dom,combined,0.067923,29,Y,both_p10,0.016371,0.8374,,0.033351
NGC6946,baryon-dom,combined,0.067923,29,Y,both_m10,-0.017068,0.8374,,0.033351
NGC6946,baryon-dom,combined,0.067923,29,Y,both_p20,0.031782,0.8374,,0.033351
NGC6946,baryon-dom,combined,0.067923,29,Y,both_m20,-0.033351,0.8374,,0.033351
NGC2903,baryon-dom,g_dag,0.145614,20,Y,gdag_p10,-0.004084,0.8421,,0.031125
NGC2903,baryon-dom,g_dag,0.145614,20,Y,gdag_m10,0.004564,0.8421,,0.031125
NGC2903,baryon-dom,g_dag,0.145614,20,Y,gdag_p20,-0.007753,0.8421,,0.031125
NGC2903,baryon-dom,g_dag,0.145614,20,Y,gdag_m20,0.00969,0.8421,,0.031125
NGC2903,baryon-dom,Ydisk,0.145614,20,Y,Ydisk_p10,-0.006844,0.8421,,0.031125
NGC2903,baryon-dom,Ydisk,0.145614,20,Y,Ydisk_m10,0.008705,0.8421,,0.031125
NGC2903,baryon-dom,Ydisk,0.145614,20,Y,Ydisk_p20,-0.012049,0.8421,,0.031125
