h2_galaxy,h2_regime,h2_delta_sigma_dex,V200_kms,C200,rs_kpc,sigma_baseline,n_inner_points,max_abs_delta_sigma,V_bar_over_V_NFW_inner_median,nfw_suppression_class
NGC6946,baryon-dom,0.000000,125.120000,8.430000,20.340000,0.124837,29,0.025022,2.175917,moderate
NGC2903,baryon-dom,0.000000,111.410000,24.980000,6.110000,0.250173,20,0.026495,1.968260,moderate
NGC5585,baryon-dom,0.000000,82.770000,6.200000,18.290000,0.132057,15,0.044845,1.360642,moderate
NGC0891,baryon-dom,0.000000,137.810000,16.730000,11.290000,0.201956,8,0.023597,2.281082,moderate
NGC7793,baryon-dom,0.000000,82.580000,7.360000,15.380000,0.129667,36,0.021617,2.055158,moderate
NGC2998,baryon-dom,0.000000,146.170000,8.790000,22.770000,0.097459,8,0.006690,1.779431,strong_suppression
NGC0024,baryon-dom,0.000000,85.540000,9.160000,12.790000,0.068209,25,0.033450,1.200614,moderate
IC2574,baryon-dom,0.000000,78.560000,1.000000,107.590000,0.073247,15,0.037556,0.992544,moderate
NGC3893,baryon-dom,0.000000,140.330000,9.120000,21.080000,0.112579,5,0.028125,1.970683,moderate
DDO161,baryon-dom,0.000000,61.540000,6.240000,13.500000,0.163286,16,0.079877,0.748860,weak_suppression
NGC3769,baryon-dom,0.000000,93.790000,9.260000,13.870000,0.106919,9,0.048212,1.094967,moderate
NGC3726,baryon-dom,0.000000,139.040000,5.690000,33.490000,0.134397,8,0.036891,1.750610,moderate
NGC1003,baryon-dom,0.000000,106.380000,4.660000,31.270000,0.065942,17,0.056269,0.970758,weak_suppression
NGC3198,baryon-dom,0.000000,111.110000,9.960000,15.290000,0.147820,31,0.042804,1.246424,moderate
NGC5033,baryon-dom,0.000000,133.170000,18.050000,10.100000,0.116293,12,0.042991,1.254424,moderate
NGC3953,baryon-dom,0.000000,169.410000,6.000000,38.670000,0.074224,3,0.023240,2.302700,moderate
NGC3521,baryon-dom,0.000000,205.060000,5.970000,47.020000,0.122433,37,0.015225,3.109374,moderate
NGC3992,baryon-dom,0.000000,160.990000,12.100000,18.230000,0.056320,4,0.052452,1.296148,weak_suppression
UGC03580,balanced,0.000000,99.710000,11.530000,11.850000,0.207952,39,0.039405,1.607953,moderate
UGC06983,balanced,0.000000,81.130000,11.130000,9.990000,0.061168,7,0.065177,0.756906,weak_suppression
NGC5055,balanced,0.000000,118.400000,12.200000,13.290000,0.160641,18,0.025559,2.266818,moderate
UGC07608,balanced,0.000000,50.900000,8.360000,8.340000,0.125174,4,0.063221,0.476651,weak_suppression
UGC02259,balanced,0.000000,64.410000,15.990000,5.520000,0.017697,3,0.094497,0.567459,weak_suppression
NGC4100,balanced,0.000000,113.520000,11.430000,13.600000,0.067458,11,0.040898,1.518979,moderate
KK98-251,balanced,0.000000,41.110000,4.710000,11.960000,0.204918,8,0.089493,0.605395,weak_suppression
UGC05716,balanced,0.000000,56.510000,8.720000,8.870000,0.009937,5,0.088903,0.600021,weak_suppression
F571-8,balanced,0.000000,152.150000,7.170000,29.050000,0.274651,10,0.038654,1.246533,moderate
NGC6503,balanced,0.000000,81.900000,13.600000,8.250000,0.085545,15,0.054800,1.036420,weak_suppression
NGC2403,DM-dom,0.000000,91.680000,17.990000,6.980000,0.130150,52,0.065653,1.041166,weak_suppression
NGC2955,DM-dom,-0.000000,196.660000,8.350000,32.260000,0.115898,18,0.025300,2.254719,moderate
UGC07261,baryon-dom,0.000000,67.630000,9.650000,9.590000,0.044167,3,0.064227,0.913506,weak_suppression
UGC11557,baryon-dom,0.000000,84.170000,6.920000,16.660000,0.448718,7,0.045577,1.407502,moderate
UGC09037,baryon-dom,0.000000,157.680000,5.790000,37.320000,0.214639,10,0.038346,1.528227,moderate
NGC4085,baryon-dom,0.000000,100.400000,9.010000,15.260000,0.280553,3,0.023159,2.290199,moderate
UGC06628,baryon-dom,0.000000,74.520000,8.770000,11.640000,0.246044,3,0.083856,0.725966,weak_suppression
NGC2976,baryon-dom,0.000000,74.780000,4.490000,22.810000,0.147594,15,0.030732,1.888394,moderate
UGC00731,balanced,0.000000,55.160000,9.370000,8.060000,0.018165,6,0.110466,0.342069,weak_suppression
NGC4559,balanced,0.000000,94.260000,8.780000,14.710000,0.126984,16,0.047394,1.403641,moderate
D564-8,balanced,0.000000,36.530000,5.270000,9.490000,0.172726,3,0.092089,0.544355,weak_suppression
UGC07323,balanced,0.000000,76.630000,6.160000,17.040000,0.124191,4,0.063262,1.107305,weak_suppression
UGC00191,balanced,0.000000,67.790000,9.740000,9.540000,0.064191,7,0.069297,0.790360,weak_suppression
UGC04278,balanced,0.000000,76.120000,5.520000,18.890000,0.124689,12,0.073612,0.780441,weak_suppression
UGC05918,balanced,0.000000,46.240000,8.750000,7.240000,0.090241,3,0.101582,0.400002,weak_suppression
UGC11820,balanced,0.000000,60.160000,6.090000,13.540000,0.053818,6,0.043683,0.837331,moderate
NGC0247,DM-dom,0.000000,90.750000,5.920000,20.980000,0.035461,12,0.075462,0.795955,weak_suppression
UGC06399,DM-dom,0.000000,73.100000,8.550000,11.720000,0.111673,4,0.076790,0.721882,weak_suppression
F563-1,DM-dom,0.000000,70.670000,7.410000,13.070000,0.122003,10,0.066594,0.561784,weak_suppression
UGC07577,baryon-dom,0.000000,35.990000,3.440000,14.320000,0.292692,4,0.082301,0.764939,weak_suppression
UGC06818,baryon-dom,0.000000,62.690000,6.890000,12.460000,0.238113,3,0.065672,1.025947,weak_suppression
NGC0100,baryon-dom,0.000000,78.880000,7.110000,15.200000,0.181018,11,0.061924,0.987688,weak_suppression
DDO064,baryon-dom,0.000000,47.770000,7.880000,8.300000,0.115872,8,0.088457,0.608232,weak_suppression
UGC07603,baryon-dom,0.000000,56.780000,10.020000,7.760000,0.085426,6,0.054845,0.885048,weak_suppression
UGC07151,baryon-dom,0.000000,72.190000,6.970000,14.190000,0.073083,5,0.047856,1.186858,moderate
NGC4088,baryon-dom,0.000000,138.890000,6.400000,29.740000,0.190425,6,0.021033,2.478516,moderate
UGC12732,baryon-dom,0.000000,67.000000,7.380000,12.430000,0.017130,8,0.077862,0.655629,weak_suppression
UGC07089,baryon-dom,0.000000,70.270000,6.000000,16.050000,0.142713,5,0.069891,1.007629,weak_suppression
UGC12632,baryon-dom,0.000000,59.970000,9.570000,8.590000,0.079245,7,0.091687,0.535309,weak_suppression
NGC4214,baryon-dom,0.000000,62.610000,8.980000,9.550000,0.075850,7,0.028483,1.490351,moderate
UGC02916,balanced,0.000000,140.210000,14.160000,13.560000,0.121810,36,0.034896,1.632887,moderate
UGC11914,balanced,0.000000,498.210000,5.460000,125.050000,0.060247,42,0.017364,2.876064,moderate
F583-1,balanced,0.000000,68.880000,6.010000,15.700000,0.135451,22,0.054085,0.515931,weak_suppression
UGC06917,balanced,0.000000,86.950000,8.790000,13.550000,0.069034,4,0.063281,0.948705,weak_suppression
UGC08550,balanced,0.000000,51.130000,9.300000,7.530000,0.027561,5,0.068656,0.770472,weak_suppression
UGC06930,balanced,0.000000,84.820000,9.070000,12.810000,0.071096,4,0.065334,0.867197,weak_suppression
DDO170,balanced,0.000000,52.590000,7.510000,9.590000,0.108757,3,0.087491,0.566279,weak_suppression
F568-3,balanced,0.000000,87.910000,3.860000,31.230000,0.119716,12,0.030718,0.951305,moderate
NGC4183,balanced,0.000000,80.440000,10.890000,10.120000,0.050665,12,0.071951,0.897837,weak_suppression
NGC1090,balanced,0.000000,117.060000,9.110000,17.610000,0.173568,12,0.033011,1.579633,moderate
UGCA444,balanced,0.000000,33.000000,7.810000,5.790000,0.055047,17,0.092624,0.544219,weak_suppression
F565-V2,DM-dom,0.000000,59.270000,8.650000,9.390000,0.149665,3,0.090765,0.437105,weak_suppression
DDO154,DM-dom,0.000000,49.180000,5.830000,11.550000,0.095158,5,0.072236,0.629995,weak_suppression
F568-V1,DM-dom,0.000000,77.020000,11.170000,9.450000,0.095079,11,0.050535,0.569908,weak_suppression
UGC08286,DM-dom,0.000000,61.360000,13.860000,6.060000,0.079364,8,0.070019,0.626692,weak_suppression
UGC05005,DM-dom,0.000000,74.100000,5.950000,17.060000,0.160395,7,0.074338,0.736782,weak_suppression
