Galaxy,Regime,V200_kms,C200,rs_kpc,sigma_baseline,n_inner_points,inner_region_defined,delta_sigma_mass_p10,delta_sigma_mass_p20,delta_sigma_mass_m10,delta_sigma_mass_m20,delta_sigma_c_p10,delta_sigma_c_p20,delta_sigma_c_m10,delta_sigma_c_m20,delta_sigma_both_p10,delta_sigma_both_p20,delta_sigma_both_m10,delta_sigma_both_m20,max_abs_delta_sigma,V_bar_over_V_NFW_inner_median
D564-8,balanced,36.530000,5.270000,9.490000,0.172726,3,True,0.046449,0.092089,-0.045392,-0.084593,-0.010131,-0.018817,0.011977,0.026374,0.035293,0.069915,-0.035136,-0.068174,0.092089,0.544355
DDO064,baryon-dom,47.770000,7.880000,8.300000,0.115872,8,True,0.044143,0.088457,-0.039530,-0.058257,-0.008015,-0.014811,0.009564,0.021147,0.034940,0.069921,-0.032551,-0.055358,0.088457,0.608232
DDO154,DM-dom,49.180000,5.830000,11.550000,0.095158,5,True,0.033716,0.072236,-0.019531,-0.013174,-0.005752,-0.010132,0.007526,0.017382,0.025257,0.053817,-0.017143,-0.019270,0.072236,0.629995
DDO161,baryon-dom,61.540000,6.240000,13.500000,0.163286,16,True,0.039807,0.079877,-0.038200,-0.072331,-0.008027,-0.014901,0.009515,0.021001,0.030765,0.061513,-0.030147,-0.058590,0.079877,0.748860
DDO170,balanced,52.590000,7.510000,9.590000,0.108757,3,True,0.043445,0.087491,-0.037719,-0.052405,-0.007937,-0.014619,0.009529,0.021135,0.034172,0.068699,-0.031126,-0.051157,0.087491,0.566279
F563-1,DM-dom,70.670000,7.410000,13.070000,0.122003,10,True,-0.011578,-0.003242,0.028414,0.066594,0.004369,0.008620,-0.004316,-0.008226,-0.010822,-0.009074,0.021639,0.050716,0.066594,0.561784
F565-V2,DM-dom,59.270000,8.650000,9.390000,0.149665,3,True,0.045050,0.090765,-0.039016,-0.057703,-0.007781,-0.014347,0.009331,0.020686,0.035918,0.072275,-0.032526,-0.054466,0.090765,0.437105
F567-2,baryon-dom,67.750000,8.940000,10.380000,0.240700,2,False,0.047121,0.092874,-0.047699,-0.094429,-0.008530,-0.015941,0.009960,0.021794,0.037931,0.074711,-0.038713,-0.077504,0.094429,0.568078
F568-3,balanced,87.910000,3.860000,31.230000,0.119716,12,True,0.011360,0.030718,-0.001616,0.005513,-0.001321,-0.001967,0.002343,0.006251,0.007375,0.019220,-0.002135,0.000932,0.030718,0.951305
F568-V1,DM-dom,77.020000,11.170000,9.450000,0.095079,11,True,0.006224,0.030808,0.017291,0.050535,0.001312,0.002991,-0.000671,-0.000258,0.003416,0.020272,0.012845,0.038181,0.050535,0.569908
F571-8,balanced,152.150000,7.170000,29.050000,0.274651,10,True,0.017847,0.038654,-0.014256,-0.024548,-0.003072,-0.005617,0.003779,0.008536,0.013755,0.029273,-0.011643,-0.020902,0.038654,1.246533
F583-1,balanced,68.880000,6.010000,15.700000,0.135451,22,True,0.022315,0.054085,-0.005149,0.010515,-0.002731,-0.004427,0.004173,0.010379,0.016108,0.038543,-0.005818,0.001390,0.054085,0.515931
IC2574,baryon-dom,78.560000,1.000000,107.590000,0.073247,15,True,0.013989,0.037556,-0.000074,0.011585,-0.001762,-0.001425,0.005057,0.014889,0.006364,0.016334,-0.001792,0.001199,0.037556,0.992544
KK98-251,balanced,41.110000,4.710000,11.960000,0.204918,8,True,0.045218,0.089313,-0.045504,-0.089493,-0.010423,-0.019411,0.012261,0.026935,0.033928,0.066957,-0.034513,-0.068982,0.089493,0.605395
NGC0024,baryon-dom,85.540000,9.160000,12.790000,0.068209,25,True,-0.008554,-0.004375,0.015751,0.033450,0.002454,0.004735,-0.002587,-0.005188,-0.007763,-0.007693,0.012538,0.026999,0.033450,1.200614
NGC0100,baryon-dom,78.880000,7.110000,15.200000,0.181018,11,True,0.030121,0.061924,-0.027310,-0.050460,-0.005591,-0.010337,0.006697,0.014880,0.023478,0.047883,-0.021974,-0.041733,0.061924,0.987688
NGC0247,DM-dom,90.750000,5.920000,20.980000,0.035461,12,True,0.036338,0.075462,-0.010173,0.019843,-0.006134,-0.010312,0.008242,0.018917,0.027507,0.057069,-0.013081,0.005376,0.075462,0.795955
NGC0891,baryon-dom,137.810000,16.730000,11.290000,0.201956,8,True,0.011024,0.023597,-0.009407,-0.017189,-0.001445,-0.002680,0.001722,0.003818,0.009185,0.019393,-0.008103,-0.015094,0.023597,2.281082
NGC1003,baryon-dom,106.380000,4.660000,31.270000,0.065942,17,True,0.025684,0.056269,-0.013532,-0.007875,-0.004548,-0.007867,0.006153,0.014429,0.018541,0.040225,-0.011904,-0.012856,0.056269,0.970758
NGC1090,balanced,117.060000,9.110000,17.610000,0.173568,12,True,0.015319,0.033011,-0.012699,-0.022711,-0.002454,-0.004515,0.002978,0.006677,0.012127,0.025698,-0.010526,-0.019362,0.033011,1.579633
NGC2403,DM-dom,91.680000,17.990000,6.980000,0.130150,52,True,0.032109,0.065653,-0.029269,-0.053416,-0.004295,-0.007998,0.005056,0.011122,0.027060,0.055038,-0.025251,-0.047281,0.065653,1.041166
NGC2903,baryon-dom,111.410000,24.980000,6.110000,0.250173,20,True,0.012237,0.026495,-0.010113,-0.018121,-0.001383,-0.002568,0.001643,0.003637,0.010429,0.022282,-0.008915,-0.016291,0.026495,1.968260
NGC2955,DM-dom,196.660000,8.350000,32.260000,0.115898,18,True,0.011830,0.025300,-0.010073,-0.018348,-0.001984,-0.003656,0.002400,0.005372,0.009303,0.019569,-0.008262,-0.015433,0.025300,2.254719
NGC2976,baryon-dom,74.780000,4.490000,22.810000,0.147594,15,True,0.014490,0.030732,-0.012562,-0.023093,-0.003103,-0.005692,0.003794,0.008546,0.010603,0.022076,-0.009643,-0.018253,0.030732,1.888394
NGC2998,baryon-dom,146.170000,8.790000,22.770000,0.097459,8,True,0.001348,0.006690,0.001796,0.005524,0.000124,0.000310,-0.000014,0.000168,0.000782,0.004024,0.001268,0.003998,0.006690,1.779431
NGC3198,baryon-dom,111.110000,9.960000,15.290000,0.147820,31,True,0.019801,0.042804,-0.015650,-0.026508,-0.003012,-0.005524,0.003678,0.008270,0.015778,0.033615,-0.013161,-0.023241,0.042804,1.246424
NGC3521,baryon-dom,205.060000,5.970000,47.020000,0.122433,37,True,0.007019,0.015225,-0.005848,-0.010579,-0.001316,-0.002412,0.001613,0.003640,0.005303,0.011248,-0.004655,-0.008669,0.015225,3.109374
NGC3726,baryon-dom,139.040000,5.690000,33.490000,0.134397,8,True,0.017483,0.036891,-0.015237,-0.027997,-0.003436,-0.006319,0.004172,0.009356,0.013210,0.027448,-0.012017,-0.022697,0.036891,1.750610
NGC3769,baryon-dom,93.790000,9.260000,13.870000,0.106919,9,True,0.022181,0.048212,-0.015881,-0.023094,-0.003343,-0.006073,0.004160,0.009439,0.017501,0.037567,-0.013527,-0.021560,0.048212,1.094967
NGC3893,baryon-dom,140.330000,9.120000,21.080000,0.112579,5,True,0.012994,0.028125,-0.010646,-0.018893,-0.002068,-0.003800,0.002515,0.005646,0.010277,0.021860,-0.008836,-0.016156,0.028125,1.970683
NGC3953,baryon-dom,169.410000,6.000000,38.670000,0.074224,3,True,0.010856,0.023240,-0.009264,-0.016924,-0.002062,-0.003787,0.002513,0.005650,0.008231,0.017287,-0.007360,-0.013819,0.023240,2.302700
NGC3992,baryon-dom,160.990000,12.100000,18.230000,0.056320,4,True,0.025385,0.052452,-0.022969,-0.041837,-0.003867,-0.007179,0.004589,0.010144,0.020770,0.042562,-0.019316,-0.036371,0.052452,1.296148
NGC4085,baryon-dom,100.400000,9.010000,15.260000,0.280553,3,True,0.010817,0.023159,-0.009243,-0.016910,-0.001766,-0.003258,0.002131,0.004764,0.008570,0.018043,-0.007625,-0.014280,0.023159,2.290199
NGC4088,baryon-dom,138.890000,6.400000,29.740000,0.190425,6,True,0.009806,0.021033,-0.008352,-0.015262,-0.001815,-0.003335,0.002209,0.004965,0.007489,0.015757,-0.006680,-0.012535,0.021033,2.478516
