R_kpc,r_frac,chi_raw,chi_smooth,chi_used,mask_outer,L_adapt_kpc,L_eff_kpc,galaxy,L0_kpc,alpha,sigma_idx,taper_on,taper_r0,taper_k,mu,kernel,Rd_star_kpc
0.31368333101272583,0.01694915248778646,3.163607148531857e-08,0.11781832113105625,3.163607148531857e-08,1.85516646556102e-24,199.99997325205717,199.99997325205717,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
0.9410499930381776,0.05084745746335938,0.3973432067737866,0.25777003684271693,0.3973432067737866,2.793383921353961e-23,74.63393090517046,74.63393090517046,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
1.568416714668274,0.08474576565953126,0.39716476062313494,0.27359539960003776,0.39716476062313494,4.206089257949413e-22,74.65494690205549,74.65494690205549,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
2.195783376693725,0.11864407063510415,0.04818717332478971,0.17844960487132214,0.04818717332478971,6.33324411746653e-21,166.1531711273379,166.1531711273379,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
2.823150157928467,0.15254238205187504,0.11698933504628574,0.15259136147484542,0.11698933504628574,9.536174641117867e-20,133.81812031519516,133.81812031519516,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
3.450516700744629,0.18644068058625002,0.22310475687287556,0.21161722455063778,0.22310475687287556,1.4358918017159235e-18,102.92497624153565,102.92497624153565,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
4.077883720397949,0.22033900488541674,0.2863662760051014,0.28016799011943117,0.2863662760051014,2.1620718931329547e-17,90.47327711973874,90.47327711973874,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
4.705249786376953,0.254237277655,0.35280438919375695,0.32716655167471975,0.35280438919375695,3.2554929245364e-16,80.27418694372439,80.27418694372443,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
5.332616806030273,0.2881356019541667,0.33750190052659235,0.356924612450256,0.33750190052659235,4.901908167469144e-15,82.41405587950173,82.41405587950231,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
5.959983825683594,0.32203392625333344,0.3840248006403665,0.3951088685595005,0.3840248006403665,7.380972479220223e-14,76.23568100162332,76.23568100163246,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
6.587349891662598,0.3559321990229167,0.47309907144909785,0.4322028978618154,0.47309907144909785,1.1113739445294521e-12,66.66666666666667,66.66666666681485,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
7.214716911315918,0.3898305233220834,0.4334709645044662,0.4424827944143554,0.4334709645044662,1.673434144075757e-11,70.60964124043832,70.60964124260359,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
7.84208345413208,0.4237288218564584,0.4401775148041048,0.4406991693715937,0.4401775148041048,2.519742410404252e-10,69.9098803689784,69.90988040175776,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
