R_kpc,V_baryon,V_kernel,V_total
1.875499933958053589e-01,5.891848087310791016e+00,1.114262485504150391e+01,1.260444259643554688e+01
5.626499652862548828e-01,1.020498085021972656e+01,1.929959106445312500e+01,2.183153343200683594e+01
9.377499818801879883e-01,1.384152030944824219e+01,2.431662178039550781e+01,2.798009490966796875e+01
1.312849998474121094e+00,1.706668663024902344e+01,2.800638389587402344e+01,3.279679107666015625e+01
1.687949895858764648e+00,2.004863739013671875e+01,3.081070137023925781e+01,3.675931549072265625e+01
2.063049793243408203e+00,2.312190055847167969e+01,2.992881774902343750e+01,3.782005310058593750e+01
2.438149929046630859e+00,2.565411758422851562e+01,3.051612091064453125e+01,3.986687088012695312e+01
2.813250064849853516e+00,2.784364509582519531e+01,3.172708320617675781e+01,4.221227645874023438e+01
3.188349723815917969e+00,2.973082923889160156e+01,3.298775100708007812e+01,4.440848922729492188e+01
3.563449859619140625e+00,3.152434158325195312e+01,3.397645187377929688e+01,4.634849929809570312e+01
3.938549757003784180e+00,3.309044647216796875e+01,3.384003067016601562e+01,4.732996368408203125e+01
4.313649654388427734e+00,3.441337966918945312e+01,3.337334823608398438e+01,4.793809509277343750e+01
4.688749790191650391e+00,3.563250350952148438e+01,3.333514785766601562e+01,4.879454040527343750e+01
5.063849925994873047e+00,3.662825393676757812e+01,3.301746368408203125e+01,4.931310272216796875e+01
5.438949584960937500e+00,3.747923278808593750e+01,3.353951644897460938e+01,5.029505157470703125e+01
5.814049720764160156e+00,3.850688934326171875e+01,3.295689773559570312e+01,5.068468856811523438e+01
6.189149856567382812e+00,3.910116958618164062e+01,3.230267333984375000e+01,5.071847915649414062e+01
6.564249992370605469e+00,3.961803054809570312e+01,3.166203689575195312e+01,5.071561050415039062e+01
6.939349651336669922e+00,3.997161102294921875e+01,3.092167091369628906e+01,5.053592300415039062e+01
7.314449787139892578e+00,4.043256378173828125e+01,3.053057098388671875e+01,5.066466140747070312e+01
7.689549446105957031e+00,4.103018188476562500e+01,3.097908020019531250e+01,5.141185760498046875e+01
8.064649581909179688e+00,4.147962951660156250e+01,3.024200057983398438e+01,5.133359527587890625e+01
8.439748764038085938e+00,4.140781402587890625e+01,2.921807861328125000e+01,5.067842864990234375e+01
8.814849853515625000e+00,4.170532608032226562e+01,2.880300903320312500e+01,5.068478393554687500e+01
9.189949035644531250e+00,4.159418106079101562e+01,2.788395309448242188e+01,5.007585144042968750e+01
9.565050125122070312e+00,4.172714996337890625e+01,2.786358833312988281e+01,5.017504119873046875e+01
9.940149307250976562e+00,4.167146301269531250e+01,2.669828414916992188e+01,4.949049758911132812e+01
1.031525039672851562e+01,4.181339263916015625e+01,2.638013267517089844e+01,4.943957138061523438e+01
1.069034957885742188e+01,4.188724517822265625e+01,2.593812179565429688e+01,4.926791381835937500e+01
1.106544876098632812e+01,4.176849365234375000e+01,2.521672248840332031e+01,4.879026794433593750e+01
