R_kpc,V_baryon,V_kernel,V_total
4.575999975204467773e-01,6.139097213745117188e+01,2.112242126464843750e+02,2.199648132324218750e+02
1.372799992561340332e+00,1.149507369995117188e+02,3.273488159179687500e+02,3.469451293945312500e+02
2.288000106811523438e+00,1.488356628417968750e+02,3.227004699707031250e+02,3.553697204589843750e+02
3.203199863433837891e+00,1.707335662841796875e+02,3.325000000000000000e+02,3.737729187011718750e+02
4.118399620056152344e+00,1.822716522216796875e+02,3.040933227539062500e+02,3.545358886718750000e+02
5.033599853515625000e+00,1.901762847900390625e+02,2.865965576171875000e+02,3.439543762207031250e+02
5.948800086975097656e+00,1.920752563476562500e+02,2.735151977539062500e+02,3.342207031250000000e+02
6.863999843597412109e+00,1.892076263427734375e+02,2.361341400146484375e+02,3.025869445800781250e+02
7.779199600219726562e+00,1.850285491943359375e+02,2.190629425048828125e+02,2.867475280761718750e+02
8.694398880004882812e+00,1.798088226318359375e+02,1.900223693847656250e+02,2.616098327636718750e+02
9.609600067138671875e+00,1.736082611083984375e+02,1.751430053710937500e+02,2.466067657470703125e+02
1.052479934692382812e+01,1.663476562500000000e+02,1.517863311767578125e+02,2.251902160644531250e+02
1.143999958038330078e+01,1.599007415771484375e+02,1.457368316650390625e+02,2.163503417968750000e+02
1.235519981384277344e+01,1.540604400634765625e+02,1.299871063232421875e+02,2.015719909667968750e+02
1.327039909362792969e+01,1.489474334716796875e+02,1.301367950439453125e+02,1.977901000976562500e+02
1.418560028076171875e+01,1.441807403564453125e+02,1.174108276367187500e+02,1.859392089843750000e+02
1.510079956054687500e+01,1.394641113281250000e+02,1.198403015136718750e+02,1.838802185058593750e+02
1.601599884033203125e+01,1.356374969482421875e+02,6.488420104980468750e+01,1.503578796386718750e+02
1.693119812011718750e+01,1.314415130615234375e+02,1.123393554687500000e+02,1.729075012207031250e+02
1.784639930725097656e+01,1.276057357788085938e+02,1.112299880981445312e+02,1.692788696289062500e+02
1.876160049438476562e+01,1.236684188842773438e+02,1.054291763305664062e+02,1.625090484619140625e+02
1.967679977416992188e+01,1.199401168823242188e+02,1.043808059692382812e+02,1.589999542236328125e+02
2.059199905395507812e+01,1.166161499023437500e+02,1.040566329956054688e+02,1.562917480468750000e+02
2.150719833374023438e+01,1.138898162841796875e+02,1.038242111206054688e+02,1.541115112304687500e+02
2.242239952087402344e+01,1.112058639526367188e+02,9.895722961425781250e+01,1.488599243164062500e+02
2.333759880065917969e+01,1.084194030761718750e+02,9.791483306884765625e+01,1.460892944335937500e+02
2.425279998779296875e+01,1.060099716186523438e+02,9.941671752929687500e+01,1.453334045410156250e+02
2.516799926757812500e+01,1.038080520629882812e+02,9.424526977539062500e+01,1.402079925537109375e+02
2.608319854736328125e+01,1.017374954223632812e+02,9.748001861572265625e+01,1.409002227783203125e+02
2.699839782714843750e+01,1.000624008178710938e+02,2.871957206726074219e+01,1.041023406982421875e+02
