name,mafe,best_L,best_mu,max_v_baryon,max_v_kernel,max_v_total,kernel_to_baryon_ratio,kernel_active,inner_overshoot,outer_decay
NGC3949,0.0179778816392348,10.0,500.0,106.3224868774414,133.11715685388253,162.33094471685757,1.2520131983681637,True,True,False
NGC4051,0.0394356539097852,10.0,500.0,133.1294708251953,95.990674604504,157.0450233819321,0.7210324957314963,True,True,False
F574-1,0.0485795438285031,30.0,200.0,64.19107818603516,73.04528064263107,92.65038110585357,1.1379350948263423,True,True,False
UGCA281,0.0602770824814672,120.0,10.0,9.126038551330566,31.162398485233936,32.4712127240195,3.4146687316689555,True,True,False
F568-1,0.0647230194416484,80.0,500.0,64.41278839111328,110.04423114535858,123.20981474379552,1.7084220989964292,True,True,False
UGC07151,0.0665783883811384,200.0,10.0,67.53219604492188,34.750864338353054,73.21343454892597,0.5145821752225718,True,True,False
NGC4085,0.0698708490360585,200.0,10.0,135.0558319091797,18.43727504039381,136.0075880861552,0.13651594884693488,True,False,True
UGC10310,0.0727483399624255,30.0,500.0,60.0239143371582,44.993370325844,71.40298730916513,0.7495907393362141,True,True,False
UGC12632,0.0767803813560888,200.0,10.0,57.339370727539055,44.2136164116272,68.36915059771677,0.7710865300862503,True,True,False
UGC05918,0.0783212981452501,200.0,10.0,28.761987686157223,30.507095231233595,39.885753896653455,1.0606740940201524,True,True,False
UGC06667,0.0784897827380642,10.0,300.0,24.62824821472168,75.69231915749766,79.3007836582684,3.073394359906286,True,True,False
NGC0055,0.0806548355364131,10.0,300.0,38.27335357666016,71.50108423039106,79.60865212029745,1.8681687792833972,True,True,False
NGC6195,0.0824934092867233,200.0,50.0,158.77471923828125,239.56172370981193,280.16418195877134,1.5088152878437122,True,True,False
F563-V1,0.0838349765509682,80.0,200.0,29.13627243041992,13.40185282735536,31.703941679008235,0.45997142768898147,True,True,False
NGC3953,0.088399843612312,200.0,10.0,155.67922973632812,189.10932284907855,234.07590238437223,1.2147370151392098,True,True,False
UGC07261,0.0889885849378323,200.0,10.0,80.82730102539062,2.196544315360918,80.84034577323224,0.02717577214004595,False,False,True
UGC05986,0.0912313344389804,80.0,300.0,96.43962097167967,85.07333812324677,121.56722774583582,0.8821409423439075,True,True,True
UGC06923,0.0917920939088596,50.0,500.0,68.70159149169922,42.358493266423565,76.08050642546777,0.6165576713247097,True,True,False
UGC05414,0.0954578981427057,10.0,500.0,49.974903106689446,27.568563500693383,53.89076465898572,0.5516481631157613,True,True,False
DDO168,0.0976606677503265,50.0,10.0,43.44283676147461,31.430694686171964,50.34111861057785,0.7234954489446441,True,True,False
UGC00731,0.0999134127734704,200.0,10.0,56.87075424194336,45.6134096662766,69.72737684701164,0.8020538899875495,True,True,False
