R_kpc,V_baryon,V_kernel,V_total
3.281666710972785950e-02,5.509795188903808594e+00,8.544499287381768227e-04,5.509795188903808594e+00
9.845000505447387695e-02,9.543245315551757812e+00,1.479950733482837677e-03,9.543245315551757812e+00
1.640833318233489990e-01,1.232027626037597656e+01,1.910608145408332348e-03,1.232027626037597656e+01
2.297166585922241211e-01,1.457754802703857422e+01,2.260661916807293892e-03,1.457754802703857422e+01
2.953500151634216309e-01,1.652938652038574219e+01,2.563349902629852295e-03,1.652938652038574219e+01
3.609833121299743652e-01,1.827392387390136719e+01,2.833889797329902649e-03,1.827392387390136719e+01
4.266166687011718750e-01,1.986585044860839844e+01,3.080763155594468117e-03,1.986585044860839844e+01
4.922499954700469971e-01,2.133934593200683594e+01,3.309270367026329041e-03,2.133934593200683594e+01
5.578833222389221191e-01,2.271746635437011719e+01,3.522987244650721550e-03,2.271746635437011719e+01
6.235166788101196289e-01,2.401664161682128906e+01,3.724460955709218979e-03,2.401664161682128906e+01
6.891499757766723633e-01,2.524905395507812500e+01,3.915581386536359787e-03,2.524905395507812500e+01
7.547832727432250977e-01,2.622989654541015625e+01,4.065891727805137634e-03,2.622989654541015625e+01
8.204166889190673828e-01,2.713954734802246094e+01,4.204919096082448959e-03,2.713954734802246094e+01
8.860499858856201172e-01,2.798406791687011719e+01,4.333595279604196548e-03,2.798406791687011719e+01
9.516832828521728516e-01,2.876830101013183594e+01,4.452657885849475861e-03,2.876830101013183594e+01
1.017316699028015137e+00,2.949611663818359375e+01,4.562692251056432724e-03,2.949611663818359375e+01
1.082949995994567871e+00,3.017060279846191406e+01,4.664160311222076416e-03,3.017060279846191406e+01
1.148583292961120605e+00,3.079423713684082031e+01,4.757423419505357742e-03,3.079423713684082031e+01
1.214216709136962891e+00,3.136895179748535156e+01,4.842757247388362885e-03,3.136895179748535156e+01
1.279850006103515625e+00,3.189622497558593750e+01,4.920360166579484940e-03,3.189622497558593750e+01
1.345483303070068359e+00,3.237712860107421875e+01,4.990364424884319305e-03,3.237712860107421875e+01
1.411116600036621094e+00,3.281237030029296875e+01,5.052837543189525604e-03,3.281237030029296875e+01
1.476749897003173828e+00,3.320230102539062500e+01,5.107786040753126144e-03,3.320230102539062500e+01
1.542383313179016113e+00,3.354693222045898438e+01,5.155154969543218613e-03,3.354693222045898438e+01
1.608016610145568848e+00,3.384594345092773438e+01,5.194823723286390305e-03,3.384594345092773438e+01
1.673650026321411133e+00,3.452976989746093750e+01,5.299780517816543579e-03,3.452976989746093750e+01
1.739283323287963867e+00,3.520031356811523438e+01,5.402698181569576263e-03,3.520031356811523438e+01
1.804916620254516602e+00,3.585831832885742188e+01,5.503692198544740677e-03,3.585831832885742188e+01
1.870549917221069336e+00,3.650446701049804688e+01,5.602865479886531830e-03,3.650446701049804688e+01
1.936183333396911621e+00,3.713937759399414062e+01,5.700314417481422424e-03,3.713937759399414062e+01
