R_kpc,V_baryon,V_kernel,V_total
7.021666318178176880e-02,4.412485599517822266e+00,7.321348189519008010e+00,8.548226081656116193e+00
2.106499969959259033e-01,7.642649173736572266e+00,1.268094701649925504e+01,1.480596179992068606e+01
3.510833382606506348e-01,9.866617202758789062e+00,1.637103253916743739e+01,1.911441451370409439e+01
4.915166497230529785e-01,1.167433929443359375e+01,1.937046705930000101e+01,2.261648040137583138e+01
6.319500207901000977e-01,1.323745727539062500e+01,2.196404535541117653e+01,2.564467895607783632e+01
7.723833322525024414e-01,1.463455867767333984e+01,2.428216489751784124e+01,2.835125809298370925e+01
9.128166437149047852e-01,1.592317771911621094e+01,2.590568106868498433e+01,3.040808944665069546e+01
1.053249955177307129e+00,1.711895179748535156e+01,2.726694189851285799e+01,3.219541306916470802e+01
1.193683266639709473e+00,1.824014091491699219e+01,2.839226923208354592e+01,3.374646174665726761e+01
1.334116697311401367e+00,1.929974174499511719e+01,2.929559038788184111e+01,3.508150021989454359e+01
1.474550008773803711e+00,2.030738449096679688e+01,2.998115437832682773e+01,3.621131701440328499e+01
1.614983320236206055e+00,2.127045059204101562e+01,3.044418971984270428e+01,3.713866927568717102e+01
1.755416631698608398e+00,2.190713310241699219e+01,3.013261436027594797e+01,3.725448877030351724e+01
1.895849943161010742e+00,2.247648620605468750e+01,2.932348594126730035e+01,3.694670853533988719e+01
2.036283254623413086e+00,2.298134231567382812e+01,2.779197505234812482e+01,3.606294451586129668e+01
2.176716566085815430e+00,2.342348289489746094e+01,2.497019488887420025e+01,3.423697093328784291e+01
2.317149877548217773e+00,2.377538871765136719e+01,2.470103411549975903e+01,3.428425572152601575e+01
2.457583189010620117e+00,2.406067085266113281e+01,2.418212740808949590e+01,3.411291807418064792e+01
2.598016738891601562e+00,2.427760314941406250e+01,2.333158370766117429e+01,3.367142463398035801e+01
2.738450050354003906e+00,2.446350669860839844e+01,2.261441335965139032e+01,3.331478390094709852e+01
2.878883361816406250e+00,2.458121109008789062e+01,2.151428109601758365e+01,3.266650047055120609e+01
3.019316673278808594e+00,2.483484077453613281e+01,2.203745097922166707e+01,3.320268863768374246e+01
3.159749984741210938e+00,2.504447937011718750e+01,2.254891089894040235e+01,3.369984176337911208e+01
3.300183296203613281e+00,2.520896339416503906e+01,2.304943669336735823e+01,3.415799105876415354e+01
3.440616607666015625e+00,2.532661247253417969e+01,2.353972866269752373e+01,3.457681509925335206e+01
3.581049919128417969e+00,2.539514541625976562e+01,2.402040999541903687e+01,3.495559307838028928e+01
3.721483230590820312e+00,2.536927604675292969e+01,2.210201393607554365e+01,3.364668154100614572e+01
3.861916542053222656e+00,2.528017807006835938e+01,1.886987989024921575e+01,3.154615300502078057e+01
4.002349853515625000e+00,2.573571205139160156e+01,1.920990317481590992e+01,3.211459612516834028e+01
4.142783164978027344e+00,2.618332481384277344e+01,1.954401403728685693e+01,3.267315431680844284e+01
