R_kpc,V_baryon,V_kernel,V_total
1.085333377122879028e-01,2.030211067199707031e+01,3.472677399692338440e+01,4.022591853433131348e+01
3.256000280380249023e-01,3.516428756713867188e+01,6.014854028723993906e+01,6.967333778638067088e+01
5.426666736602783203e-01,4.539690017700195312e+01,7.765143128280163864e+01,8.994789292905664979e+01
7.597333192825317383e-01,5.371433639526367188e+01,9.187841228183835085e+01,1.064277812598769373e+02
9.768000245094299316e-01,5.941009902954101562e+01,1.011792606736363922e+02,1.173320186688901572e+02
1.193866729736328125e+00,6.389083099365234375e+01,1.082154331390857749e+02,1.256686846416324528e+02
1.410933256149291992e+00,6.733251190185546875e+01,1.132370143966522704e+02,1.317432670828195853e+02
1.628000020980834961e+00,6.980603790283203125e+01,1.162763850539118096e+02,1.356210917730187191e+02
1.845066785812377930e+00,6.758251190185546875e+01,1.048623207910781616e+02,1.247537667478811301e+02
2.062133312225341797e+00,6.118999862670898438e+01,5.445156202423578407e+01,8.190963574080706167e+01
2.279200077056884766e+00,5.897781753540039062e+01,7.607419386746857981e+01,9.625832966151978098e+01
2.496266841888427734e+00,5.396921539306640625e+01,9.063111211934071321e+01,1.054830543429595480e+02
2.713333368301391602e+00,5.415393447875976562e+01,7.963703348620803979e+01,9.630527391645820501e+01
2.930399894714355469e+00,5.379063796997070312e+01,3.037209759129745024e+01,6.177294658086820078e+01
3.147466659545898438e+00,5.413077163696289062e+01,6.300902359962554300e+01,8.306790857989349774e+01
3.364533424377441406e+00,5.413013076782226562e+01,7.686121931042326594e+01,9.400913827286609603e+01
3.581600189208984375e+00,5.373944091796875000e+01,8.752592332875408943e+01,1.027069362058148130e+02
3.798666715621948242e+00,4.792870712280273438e+01,2.595854663667442352e+01,5.450694480669665865e+01
4.015733242034912109e+00,4.629544067382812500e+01,2.281445431813218505e+01,5.161169584599759474e+01
4.232800006866455078e+00,4.372484588623046875e+01,1.398148414677915419e+01,4.590581751329371940e+01
4.449866771697998047e+00,4.305977249145507812e+01,9.331182469255669787e+01,1.027678970808646284e+02
4.666933536529541016e+00,4.076523590087890625e+01,1.953661452573511781e+01,4.520490847780293109e+01
4.883999824523925781e+00,4.028784561157226562e+01,9.142850298494627381e+00,4.131225224087275194e+01
5.101066589355468750e+00,3.938726806640625000e+01,7.622107394402249270e+00,4.011799415132256286e+01
5.318133354187011719e+00,4.254674148559570312e+01,7.782697960756991051e+01,8.869759847123069108e+01
5.535200119018554688e+00,4.544689941406250000e+01,9.442115759594784663e+01,1.047891962754543442e+02
5.752266883850097656e+00,3.771107101440429688e+01,1.790121506097083071e+01,4.174420173615511942e+01
5.969333648681640625e+00,3.571648788452148438e+01,5.437159775100432135e+00,3.612796959266767516e+01
6.186399936676025391e+00,3.541706085205078125e+01,4.844460043996471121e+00,3.574684541578988473e+01
6.403466701507568359e+00,3.499023056030273438e+01,3.634696580259614951e+00,3.517850627030997401e+01
