R_kpc,V_baryon,V_kernel,V_total
3.056166768074035645e-01,1.380447673797607422e+01,5.073496906269989637e+01,5.257947003505397987e+01
9.168500304222106934e-01,2.391005325317382812e+01,8.787554699125594482e+01,9.107031587098265391e+01
1.528083324432373047e+00,3.636580276489257812e+01,1.061633572661393572e+02,1.122191159457029954e+02
2.139316797256469727e+00,4.587728500366210938e+01,1.134957315213920737e+02,1.224173452390337786e+02
2.750550031661987305e+00,5.452871704101562500e+01,1.213401505046863633e+02,1.330293697948523004e+02
3.361783504486083984e+00,6.246309280395507812e+01,1.275467455910659282e+02,1.420204571543311829e+02
3.973016738891601562e+00,6.835192871093750000e+01,1.333365779516306873e+02,1.498353407843966636e+02
4.584249973297119141e+00,7.406436920166015625e+01,1.341181470052369491e+02,1.532096867624142646e+02
5.195483207702636719e+00,7.890514373779296875e+01,1.361489335601602875e+02,1.573612201082081583e+02
5.806716918945312500e+00,8.299456024169921875e+01,1.366171377786852759e+02,1.598509915602935223e+02
6.417949676513671875e+00,8.620157623291015625e+01,1.329855351245897737e+02,1.584798550808146160e+02
7.029183387756347656e+00,8.930931854248046875e+01,1.334466696114346860e+02,1.605744933893873565e+02
7.640417098999023438e+00,9.167247009277343750e+01,1.321007888539556347e+02,1.607932219115978967e+02
8.251649856567382812e+00,9.330241394042968750e+01,1.280480508654339644e+02,1.584349839863319573e+02
8.862882614135742188e+00,9.580596923828125000e+01,1.292321451042923854e+02,1.608717859288706507e+02
9.474117279052734375e+00,9.695700836181640625e+01,1.266286367253820515e+02,1.594850236597194453e+02
1.008535003662109375e+01,9.813273620605468750e+01,1.239584440218732766e+02,1.581003795821230540e+02
1.069658279418945312e+01,9.869821166992187500e+01,1.205675473420084671e+02,1.558135757439958979e+02
1.130781745910644531e+01,9.883481597900390625e+01,1.170434945135522042e+02,1.531910601079789558e+02
1.191905021667480469e+01,9.945606994628906250e+01,1.144169298189546282e+02,1.516006055226053206e+02
1.253028297424316406e+01,9.956446075439453125e+01,1.113711259491791878e+02,1.493874483564062245e+02
1.314151668548583984e+01,9.981137084960937500e+01,1.089448267289822923e+02,1.477541364609481036e+02
1.375275039672851562e+01,1.000056381225585938e+02,1.072166328630658683e+02,1.466169645442878391e+02
1.436398315429687500e+01,9.939138031005859375e+01,1.030045521128858184e+02,1.431383395193307706e+02
1.497521686553955078e+01,9.916228485107421875e+01,1.001419564573766223e+02,1.409310846577099881e+02
1.558645057678222656e+01,9.846754455566406250e+01,9.718592592028767285e+01,1.383508641782140955e+02
1.619768333435058594e+01,9.802236175537109375e+01,9.408439785329295546e+01,1.358685309719627980e+02
1.680891609191894531e+01,9.767713928222656250e+01,9.200037989671383798e+01,1.341823130793591758e+02
1.742015075683593750e+01,9.669836425781250000e+01,8.909740912617630215e+01,1.314873437072357376e+02
1.803138351440429688e+01,9.665149688720703125e+01,8.691162789890530860e+01,1.299813170528279329e+02
