R_kpc,V_baryon,V_kernel,V_total
1.442833244800567627e-01,3.195097208023071289e+00,3.582862052536247788e+00,4.800577705664384354e+00
4.328499734401702881e-01,5.534070491790771484e+00,6.205698620568431245e+00,8.314844068141244549e+00
7.214166522026062012e-01,7.144454479217529297e+00,8.011522549915476077e+00,1.073441762357037454e+01
1.009983301162719727e+00,8.960733413696289062e+00,9.276887839347656595e+00,1.289788332955303929e+01
1.298549890518188477e+00,1.065190029144287109e+01,1.027331676808520378e+01,1.479878439586018857e+01
1.587116718292236328e+00,1.225314140319824219e+01,1.106494895630996922e+01,1.650977213642167030e+01
1.875683307647705078e+00,1.370552062988281250e+01,1.145416785141011040e+01,1.786166998080632595e+01
2.164249897003173828e+00,1.510342407226562500e+01,1.157639618420949290e+01,1.902961815678080626e+01
2.452816486358642578e+00,1.655132675170898438e+01,1.169471707359896939e+01,2.026605088724341641e+01
2.741383314132690430e+00,1.764980506896972656e+01,1.220742035481232968e+01,2.146011968091246302e+01
3.029949903488159180e+00,1.871121406555175781e+01,1.266318588859613570e+01,2.259349031108365224e+01
3.318516731262207031e+00,1.975034904479980469e+01,1.299031021180494250e+01,2.363946812735507308e+01
3.607083320617675781e+00,2.076233863830566406e+01,1.325237080655053568e+01,2.463128171706788905e+01
3.895649909973144531e+00,2.164748764038085938e+01,1.319147056954991371e+01,2.535012039978104781e+01
4.184216499328613281e+00,2.247915077209472656e+01,1.302436126668140481e+01,2.597972693749546735e+01
4.472783088684082031e+00,2.322174453735351562e+01,1.310119319717530750e+01,2.666253275362545239e+01
4.761349678039550781e+00,2.393222427368164062e+01,1.330247699176652532e+01,2.738078225489394768e+01
5.049916744232177734e+00,2.456113433837890625e+01,1.327899313176807894e+01,2.792097754747897653e+01
5.338483333587646484e+00,2.514614868164062500e+01,1.336348815512221933e+01,2.847650982931038044e+01
5.627049922943115234e+00,2.570557212829589844e+01,1.340185282735535921e+01,2.898941336813749814e+01
5.915616512298583984e+00,2.614188957214355469e+01,1.313096566407037891e+01,2.925441224389645711e+01
6.204183101654052734e+00,2.663141059875488281e+01,1.317305762864052276e+01,2.971130261283652985e+01
6.492750167846679688e+00,2.709767341613769531e+01,1.317653471115405495e+01,3.013146099189295057e+01
6.781316757202148438e+00,2.756485557556152344e+01,1.324041744925047759e+01,3.057989442906755073e+01
7.069883346557617188e+00,2.786609268188476562e+01,1.308457592876571063e+01,3.078514627607835763e+01
7.358449935913085938e+00,2.814146041870117188e+01,1.292841914390336733e+01,3.096911032014617859e+01
7.647016525268554688e+00,2.848067283630371094e+01,1.301984998356418366e+01,3.131557497907866150e+01
7.935583114624023438e+00,2.874976730346679688e+01,1.280105567149356993e+01,3.147087796051230058e+01
8.224149703979492188e+00,2.891179084777832031e+01,1.260142409577002098e+01,3.153866756600712051e+01
8.512716293334960938e+00,2.913627243041992188e+01,1.249870212080860554e+01,3.170394167900823490e+01
