R_kpc,V_baryon,V_kernel,V_total
2.425499856472015381e-01,6.564981937408447266e+00,3.147912903999977630e+01,3.215640764600895096e+01
7.276499271392822266e-01,1.137088203430175781e+01,5.452344882342964638e+01,5.569652972039727956e+01
1.212749958038330078e+00,1.620478057861328125e+01,6.860884670382601769e+01,7.049658683721550290e+01
1.697849988937377930e+00,2.057730674743652344e+01,7.889408278691915655e+01,8.153344017282852008e+01
2.182950019836425781e+00,2.500957870483398438e+01,8.246415127055064431e+01,8.617317012085901240e+01
2.668049812316894531e+00,2.879648399353027344e+01,8.803149507252749117e+01,9.262171242477327837e+01
3.153150081634521484e+00,3.215061187744140625e+01,9.419146424856941735e+01,9.952735203211177861e+01
3.638249874114990234e+00,3.584421539306640625e+01,9.737038787876980450e+01,1.037583739990170386e+02
4.123350143432617188e+00,3.896036529541015625e+01,9.866388888415121983e+01,1.060776743896840202e+02
4.608449935913085938e+00,4.147902679443359375e+01,1.019188180141237439e+02,1.100361536448396720e+02
5.093549728393554688e+00,4.390635299682617188e+01,1.044153358809594323e+02,1.132710474454933234e+02
5.578649520874023438e+00,4.617046737670898438e+01,1.059776809967754758e+02,1.155983608346477922e+02
6.063749790191650391e+00,4.819688796997070312e+01,1.073324627897224559e+02,1.176571183988177012e+02
6.548850059509277344e+00,5.006275177001953125e+01,1.080272506974426818e+02,1.190637054100976115e+02
7.033949851989746094e+00,5.176725006103515625e+01,1.086592125102334023e+02,1.203605940824292873e+02
7.519049644470214844e+00,5.332393646240234375e+01,1.094341398609923175e+02,1.217344368113932802e+02
8.004149436950683594e+00,5.481441497802734375e+01,1.100442311453585802e+02,1.229404446289365325e+02
8.489250183105468750e+00,5.602671432495117188e+01,1.091346750422190297e+02,1.226758736359843311e+02
8.974349975585937500e+00,5.719665908813476562e+01,1.090563171318737830e+02,1.231451910146705728e+02
9.459449768066406250e+00,5.820337295532226562e+01,1.085667795073377704e+02,1.231843260360435295e+02
9.944549560546875000e+00,5.915504455566406250e+01,1.078306915378402948e+02,1.229909646009265316e+02
1.042964935302734375e+01,5.993297195434570312e+01,1.067521162114312290e+02,1.224253874703263705e+02
1.091474914550781250e+01,6.089730834960937500e+01,1.071082455811224463e+02,1.232098147437955191e+02
1.139984989166259766e+01,6.145533752441406250e+01,1.058384753786354366e+02,1.223868514808510497e+02
1.188494968414306641e+01,6.209273147583007812e+01,1.048902078496212624e+02,1.218911933937620518e+02
1.237004947662353516e+01,6.261194229125976562e+01,1.038628737342732933e+02,1.212755206603350189e+02
1.285514926910400391e+01,6.326171493530273438e+01,1.035875629554431328e+02,1.213772131694506697e+02
1.334025001525878906e+01,6.357286453247070312e+01,1.023110406456207642e+02,1.204535515092560019e+02
1.382534980773925781e+01,6.416471099853515625e+01,1.018831676748107782e+02,1.204046934592506091e+02
1.431044960021972656e+01,6.441278839111328125e+01,1.004399687095699534e+02,1.193197160514478412e+02
