R_kpc,V_baryon,V_kernel,V_total
4.748333394527435303e-01,3.514322662353515625e+01,1.126671657750423918e+02,1.180209160721083066e+02
1.424499988555908203e+00,7.135095977783203125e+01,1.821689564455357413e+02,1.956437787539173030e+02
2.374166727066040039e+00,1.001906890869140625e+02,2.049373723657564881e+02,2.281172953116570170e+02
3.323833465576171875e+00,1.239281616210937500e+02,2.269442539080626204e+02,2.585766498255637202e+02
4.273499965667724609e+00,1.430737609863281250e+02,2.308926834756745450e+02,2.716275627492505009e+02
5.223166465759277344e+00,1.578705749511718750e+02,2.361626427297366320e+02,2.840702606076852703e+02
6.172833442687988281e+00,1.694187316894531250e+02,2.355553127212624815e+02,2.901534290379173626e+02
7.122499942779541016e+00,1.779026031494140625e+02,2.313862371716260498e+02,2.918714215025924545e+02
8.072166442871093750e+00,1.841554107666015625e+02,2.247945429381152849e+02,2.905955976585091776e+02
9.021833419799804688e+00,1.892218627929687500e+02,2.195415056926433408e+02,2.898333776228903389e+02
9.971500396728515625e+00,1.929950103759765625e+02,2.146606353258703734e+02,2.886628874262437989e+02
1.092116641998291016e+01,1.946513671875000000e+02,2.052071566933491908e+02,2.828411805380694091e+02
1.187083339691162109e+01,1.955790252685546875e+02,1.977975018349091272e+02,2.781636352619279364e+02
1.282049942016601562e+01,1.950253906250000000e+02,1.875171469958097816e+02,2.705505179466454706e+02
1.377016639709472656e+01,1.937209930419921875e+02,1.785107525226523535e+02,2.634272441964832865e+02
1.471983337402343750e+01,1.923847198486328125e+02,1.695679548876713056e+02,2.564472074931550765e+02
1.566950035095214844e+01,1.907590484619140625e+02,1.620805379741587444e+02,2.503180305431326929e+02
1.661916732788085938e+01,1.893019866943359375e+02,1.547218397707021040e+02,2.444874023125339306e+02
1.756883239746093750e+01,1.873336944580078125e+02,1.480759775131600691e+02,2.387894662228170546e+02
1.851850128173828125e+01,1.849714813232421875e+02,1.403863763237018247e+02,2.322127986913081941e+02
1.946816635131835938e+01,1.821252746582031250e+02,1.334314161293554264e+02,2.257732490747856673e+02
2.041783142089843750e+01,1.790427093505859375e+02,1.262045160309320977e+02,2.190522104025129408e+02
2.136750030517578125e+01,1.762451477050781250e+02,1.202054586927175279e+02,2.133347225887680452e+02
2.231716537475585938e+01,1.733873138427734375e+02,1.136950751503961214e+02,2.073396495359829146e+02
2.326683425903320312e+01,1.706249847412109375e+02,1.086910583120977805e+02,2.023033141662015453e+02
2.421649932861328125e+01,1.681958618164062500e+02,1.036504113373538019e+02,1.975683563394012765e+02
2.516616630554199219e+01,1.655409240722656250e+02,9.884508146213391910e+01,1.928059828020279269e+02
2.611583328247070312e+01,1.628657531738281250e+02,9.411744032305851704e+01,1.881046157839155342e+02
2.706549835205078125e+01,1.606080627441406250e+02,9.070378435273862294e+01,1.844508761558429342e+02
2.801516723632812500e+01,1.581278381347656250e+02,8.470348792464028520e+01,1.793853252891653938e+02
