R_kpc,V_baryon,V_kernel,V_total
5.738333612680435181e-02,2.658149480819702148e+00,5.080800198002293655e+00,5.734133705901816924e+00
1.721500158309936523e-01,4.604049682617187500e+00,8.800203803161823046e+00,9.931810521328845454e+00
2.869166731834411621e-01,5.943802356719970703e+00,1.136101450446803263e+01,1.282191231889221505e+01
4.016833305358886719e-01,7.032802104949951172e+00,1.344253359276449444e+01,1.517109137975431921e+01
5.164500474929809570e-01,7.974448204040527344e+00,1.524240155513902906e+01,1.720240183073240203e+01
6.312166452407836914e-01,8.816083908081054688e+00,1.685110706110647882e+01,1.901796898859039331e+01
7.459833621978759766e-01,9.584094047546386719e+00,1.831908648129033068e+01,2.067471373217611585e+01
8.607500791549682617e-01,1.037102317810058594e+01,1.939210786770042105e+01,2.199117932899615013e+01
9.755167365074157715e-01,1.112002182006835938e+01,2.032620144657672157e+01,2.316914650100854445e+01
1.090283393859863281e+00,1.183795738220214844e+01,2.113555160616645168e+01,2.422496190390716109e+01
1.205049991607666016e+00,1.252987575531005859e+01,2.182934100301616809e+01,2.516978180480611371e+01
1.319816708564758301e+00,1.319960212707519531e+01,2.241300772282195553e+01,2.601100550480078155e+01
1.434583425521850586e+00,1.385011386871337891e+01,2.288890077255468825e+01,2.675308265699537102e+01
1.549350023269653320e+00,1.448377799987792969e+01,2.325653574161153614e+01,2.739792484173704779e+01
1.664116740226745605e+00,1.496734714508056641e+01,2.328778407002283046e+01,2.768288950357258216e+01
1.778883457183837891e+00,1.542971324920654297e+01,2.313605398227131715e+01,2.780922587335469132e+01
1.893650054931640625e+00,1.587267684936523438e+01,2.276392283702389463e+01,2.775136117280825943e+01
2.008416652679443359e+00,1.629776382446289062e+01,2.210804625890300912e+01,2.746603002497923995e+01
2.123183488845825195e+00,1.670628738403320312e+01,2.105101618917928263e+01,2.687462221535740881e+01
2.237950086593627930e+00,1.705804061889648438e+01,2.104216800662040043e+01,2.708781238904884248e+01
2.352716684341430664e+00,1.739214324951171875e+01,2.093839072402071722e+01,2.721953047744464627e+01
2.467483520507812500e+00,1.770940017700195312e+01,2.072553839841894430e+01,2.726115928704921032e+01
2.582250118255615234e+00,1.801049804687500000e+01,2.038281789691492207e+01,2.719995068334881694e+01
2.697016716003417969e+00,1.828203773498535156e+01,2.035223082742178136e+01,2.735774496936667433e+01
2.811783313751220703e+00,1.853735923767089844e+01,2.025491811965275701e+01,2.745715581671931105e+01
2.926550149917602539e+00,1.877683067321777344e+01,2.008233146427928872e+01,2.749307919270338729e+01
3.041316747665405273e+00,1.914146423339843750e+01,2.047231660031682665e+01,2.802697642243983722e+01
3.156083583831787109e+00,1.949927902221679688e+01,2.085501058787601991e+01,2.855089070293548303e+01
3.270850181579589844e+00,1.985064506530761719e+01,2.123080556887343917e+01,2.906536084080898519e+01
3.385616779327392578e+00,2.019589996337890625e+01,2.160006485126121589e+01,2.957088418067893443e+01
