R_kpc,V_baryon,V_kernel,V_total
4.161666706204414368e-02,1.341620349884033203e+01,2.684668965234302540e+00,1.368217707631423607e+01
1.248500049114227295e-01,2.323754692077636719e+01,4.649983101231730309e+00,2.369822618646191970e+01
2.080833315849304199e-01,2.999954414367675781e+01,6.003102737119543342e+00,3.059427885606085340e+01
2.913166582584381104e-01,3.549593734741210938e+01,7.102966710095137692e+00,3.619963651663207571e+01
3.745499849319458008e-01,4.024861145019531250e+01,8.054006895702906732e+00,4.104653104307086409e+01
4.577833414077758789e-01,4.449651336669921875e+01,8.904039757642777886e+00,4.537864719525371981e+01
5.410166382789611816e-01,4.837281036376953125e+01,9.679711421153673001e+00,4.933179019794754083e+01
6.242499947547912598e-01,5.196073150634765625e+01,1.039767859889510859e+01,5.299084302835062488e+01
7.074832916259765625e-01,5.531642532348632812e+01,1.106917396087097316e+01,5.641306226928209355e+01
7.907166481018066406e-01,5.825766372680664062e+01,1.156645595331759324e+01,5.939476597803598423e+01
8.739500045776367188e-01,6.101083374023437500e+01,1.201206934193409381e+01,6.218208413376945742e+01
9.571833610534667969e-01,6.359983062744140625e+01,1.241032427225732349e+01,6.479934123974625493e+01
1.040416598320007324e+00,6.604341125488281250e+01,1.276429322635881647e+01,6.726558641060240973e+01
1.123649954795837402e+00,6.835664367675781250e+01,1.307609351778262763e+01,6.959608524235251537e+01
1.206883311271667480e+00,7.055181884765625000e+01,1.334704392240197279e+01,7.180322181836812945e+01
1.290116667747497559e+00,7.263909912109375000e+01,1.357776257270461784e+01,7.389718940071055897e+01
1.373350024223327637e+00,7.462699127197265625e+01,1.376820891248661383e+01,7.588643861019652093e+01
1.456583261489868164e+00,7.652268981933593750e+01,1.391767530591354962e+01,7.777804223487234481e+01
1.539816617965698242e+00,7.833233642578125000e+01,1.402472690245953402e+01,7.957793690975893242e+01
1.623049974441528320e+00,7.942127990722656250e+01,1.394203839656814026e+01,8.063572521373593815e+01
1.706283330917358398e+00,8.036636352539062500e+01,1.377558874311541004e+01,8.153845280985957800e+01
1.789516687393188477e+00,8.116635131835937500e+01,1.350752482142534916e+01,8.228262142944537061e+01
1.872750043869018555e+00,8.181848907470703125e+01,1.310943211591791169e+01,8.286206820446017218e+01
1.955983281135559082e+00,8.231840515136718750e+01,1.253219286814234579e+01,8.326689427559472279e+01
2.039216756820678711e+00,8.265988159179687500e+01,1.167858826327544364e+01,8.348081021302509441e+01
2.122449874877929688e+00,8.283451843261718750e+01,1.030099330792728551e+01,8.347255884611099930e+01
2.205683231353759766e+00,8.444309997558593750e+01,1.050103118994305085e+01,8.509353008944573560e+01
2.288916587829589844e+00,8.602162170410156250e+01,1.069732951025682510e+01,8.668420904024135609e+01
2.372149944305419922e+00,8.757167816162109375e+01,1.089008965139855967e+01,8.824620604162254267e+01
2.455383300781250000e+00,8.909477996826171875e+01,1.107949621402070761e+01,8.978103986460058650e+01
