R_kpc,V_baryon,V_kernel,V_total
6.655000150203704834e-02,1.190557861328125000e+01,2.237763954326510429e-03,1.190557861328125000e+01
1.996500045061111450e-01,2.062106704711914062e+01,3.875921014696359634e-03,2.062106704711914062e+01
3.327500224113464355e-01,2.662168502807617188e+01,5.003792699426412582e-03,2.662168502807617188e+01
4.658499956130981445e-01,3.149920082092285156e+01,5.920566618442535400e-03,3.149920082092285156e+01
5.989500284194946289e-01,3.571673583984375000e+01,6.713292095810174942e-03,3.571673583984375000e+01
7.320500612258911133e-01,3.948633956909179688e+01,7.421823684126138687e-03,3.948633956909179688e+01
8.651500344276428223e-01,4.234104156494140625e+01,7.911319844424724579e-03,4.234104156494140625e+01
9.982500076293945312e-01,4.482584762573242188e+01,8.318727836012840271e-03,4.482584762573242188e+01
1.131350040435791016e+00,4.699063110351562500e+01,8.651761338114738464e-03,4.699063110351562500e+01
1.264450073242187500e+00,4.886830520629882812e+01,8.914194069802761078e-03,4.886830520629882812e+01
1.397550106048583984e+00,5.048025131225585938e+01,9.106608107686042786e-03,5.048025131225585938e+01
1.530650019645690918e+00,5.183926010131835938e+01,9.226469323039054871e-03,5.183926010131835938e+01
1.663750052452087402e+00,5.214041519165039062e+01,8.993298746645450592e-03,5.214041519165039062e+01
1.796850085258483887e+00,5.196080017089843750e+01,8.521650917828083038e-03,5.196080017089843750e+01
1.929949998855590820e+00,5.120354461669921875e+01,7.616372779011726379e-03,5.120354461669921875e+01
2.063050031661987305e+00,4.969697952270507812e+01,5.213398486375808716e-03,4.969697952270507812e+01
2.196150064468383789e+00,4.963450241088867188e+01,5.752525757998228073e-03,4.963450241088867188e+01
2.329250097274780273e+00,4.924053192138671875e+01,6.245970260351896286e-03,4.924053192138671875e+01
2.462350130081176758e+00,4.844942855834960938e+01,6.708288099616765976e-03,4.844942855834960938e+01
2.595450162887573242e+00,4.715480041503906250e+01,7.147733587771654129e-03,4.715480041503906250e+01
2.728549957275390625e+00,4.674507141113281250e+01,6.225998513400554657e-03,4.674507141113281250e+01
2.861649990081787109e+00,4.604037857055664062e+01,3.392157377675175667e-03,4.604037857055664062e+01
2.994750022888183594e+00,4.619975280761718750e+01,4.627537447959184647e-03,4.619975280761718750e+01
3.127850055694580078e+00,4.623930740356445312e+01,5.387208424508571625e-03,4.623930740356445312e+01
3.260950088500976562e+00,4.614895629882812500e+01,5.989861674606800079e-03,4.614895629882812500e+01
3.394050121307373047e+00,4.591521072387695312e+01,6.511052604764699936e-03,4.591521072387695312e+01
3.527150154113769531e+00,4.551989746093750000e+01,6.981641054153442383e-03,4.551989746093750000e+01
3.660250186920166016e+00,4.428883361816406250e+01,6.011445075273513794e-03,4.428883361816406250e+01
3.793350219726562500e+00,4.261766815185546875e+01,2.749706385657191277e-03,4.261766815185546875e+01
3.926450252532958984e+00,4.335890197753906250e+01,2.797530964016914368e-03,4.335890197753906250e+01
