R_kpc,V_baryon,V_kernel,V_total
1.011999994516372681e-01,1.123873138427734375e+01,3.055045148357748985e-03,1.123873138427734375e+01
3.036000132560729980e-01,1.946605491638183594e+01,5.291493609547615051e-03,1.946605682373046875e+01
5.060000419616699219e-01,2.513056755065917969e+01,6.831288803368806839e-03,2.513056755065917969e+01
7.084000110626220703e-01,2.973488998413085938e+01,8.082889951765537262e-03,2.973489189147949219e+01
9.107999801635742188e-01,3.388071823120117188e+01,8.910897187888622284e-03,3.388072204589843750e+01
1.113199949264526367e+00,3.763581848144531250e+01,9.543943218886852264e-03,3.763581848144531250e+01
1.315600037574768066e+00,4.110660171508789062e+01,1.000532787293195724e-02,4.110660171508789062e+01
1.518000006675720215e+00,4.435911941528320312e+01,1.030022092163562775e-02,4.435911941528320312e+01
1.720399975776672363e+00,4.664300537109375000e+01,1.023819390684366226e-02,4.664300537109375000e+01
1.922799944877624512e+00,4.867249298095703125e+01,9.843798354268074036e-03,4.867249298095703125e+01
2.125199794769287109e+00,5.047198104858398438e+01,8.864534087479114532e-03,5.047198104858398438e+01
2.327600002288818359e+00,5.178585433959960938e+01,8.709338493645191193e-03,5.178585433959960938e+01
2.530000209808349609e+00,5.284265899658203125e+01,8.342740125954151154e-03,5.284265899658203125e+01
2.732399940490722656e+00,5.407023620605468750e+01,8.255518972873687744e-03,5.407023620605468750e+01
2.934800148010253906e+00,5.511770629882812500e+01,8.049597963690757751e-03,5.511770629882812500e+01
3.137199878692626953e+00,5.586945343017578125e+01,8.263408206403255463e-03,5.586945343017578125e+01
3.339600086212158203e+00,5.641726684570312500e+01,8.463453501462936401e-03,5.641726684570312500e+01
3.541999816894531250e+00,5.675068664550781250e+01,8.650485426187515259e-03,5.675068664550781250e+01
3.744400024414062500e+00,5.629692459106445312e+01,7.082160096615552902e-03,5.629692459106445312e+01
3.946799755096435547e+00,5.671515655517578125e+01,6.979369092732667923e-03,5.671515655517578125e+01
4.149199962615966797e+00,5.697293853759765625e+01,6.813988089561462402e-03,5.697293853759765625e+01
4.351599693298339844e+00,5.705942916870117188e+01,6.565367337316274643e-03,5.705942916870117188e+01
4.553999900817871094e+00,5.648111343383789062e+01,7.286601699888706207e-03,5.648111343383789062e+01
4.756400108337402344e+00,5.637682723999023438e+01,5.982753820717334747e-03,5.637682723999023438e+01
4.958800315856933594e+00,5.613658523559570312e+01,5.841305013746023178e-03,5.613658523559570312e+01
5.161200046539306641e+00,5.584839248657226562e+01,5.635100882500410080e-03,5.584839248657226562e+01
5.363599777221679688e+00,5.579996109008789062e+01,6.939481478184461594e-03,5.579996109008789062e+01
5.565999984741210938e+00,5.561397933959960938e+01,7.862725295126438141e-03,5.561397933959960938e+01
5.768400192260742188e+00,5.508834075927734375e+01,5.185331683605909348e-03,5.508834075927734375e+01
5.970799922943115234e+00,5.368973922729492188e+01,4.766981583088636398e-03,5.368973922729492188e+01
