R_kpc,V_baryon,V_kernel,V_total
1.979999989271163940e-02,1.188109040260314941e+00,4.056998297626910777e+00,4.227391427357410691e+00
5.939999967813491821e-02,2.057865142822265625e+00,7.026927718937344025e+00,7.322057230654780646e+00
9.900000691413879395e-02,2.656692743301391602e+00,9.071724981343109562e+00,9.452735606020411296e+00
1.386000066995620728e-01,3.143440961837768555e+00,1.073380961810233103e+01,1.118462738472909557e+01
1.782000064849853516e-01,3.564327001571655273e+00,1.217099590951134047e+01,1.268217521542671555e+01
2.178000211715698242e-01,3.940511941909790039e+00,1.345554257041878898e+01,1.402067261171941048e+01
2.574000060558319092e-01,4.283788204193115234e+00,1.462771630594673056e+01,1.524207747813521152e+01
2.969999909400939941e-01,4.601526260375976562e+00,1.571268753444201671e+01,1.637261717656664217e+01
3.366000056266784668e-01,4.898698806762695312e+00,1.672743398705840789e+01,1.742998271355047279e+01
3.762000203132629395e-01,5.178847312927246094e+00,1.768404679049384143e+01,1.842677319158783789e+01
4.158000349998474121e-01,5.444599628448486328e+00,1.859150347077077825e+01,1.937234282727317947e+01
4.554000198841094971e-01,5.697970867156982422e+00,1.945668187282927519e+01,2.027385860336972456e+01
4.950000047683715820e-01,5.940545082092285156e+00,2.028499318251890315e+01,2.113695876005607133e+01
5.346000194549560547e-01,6.173595905303955078e+00,2.108078315681203208e+01,2.196617180050331797e+01
5.742000341415405273e-01,6.398162841796875000e+00,2.184760729182174188e+01,2.276520224998862574e+01
6.138000488281250000e-01,6.615111351013183594e+00,2.258841246080378440e+01,2.353712120162202481e+01
6.534000039100646973e-01,6.825166702270507812e+00,2.330568195345666282e+01,2.428451589627950824e+01
6.930000185966491699e-01,7.028947830200195312e+00,2.400152900593755234e+01,2.500958823089782257e+01
7.326000332832336426e-01,7.226985454559326172e+00,2.467775915420628507e+01,2.571422013982020616e+01
7.722000479698181152e-01,7.419738769531250000e+00,2.533594749795153334e+01,2.640005227619079875e+01
8.118000030517578125e-01,7.607609748840332031e+00,2.597746581074037664e+01,2.706851408446103946e+01
8.514000177383422852e-01,7.790952205657958984e+00,2.660351778321269478e+01,2.772086028434392446e+01
8.910000324249267578e-01,7.970077991485595703e+00,2.721517426627559288e+01,2.835820612558869769e+01
9.306000471115112305e-01,8.145265579223632812e+00,2.781338140414825588e+01,2.898153786991766268e+01
9.702000617980957031e-01,8.316763877868652344e+00,2.839899045552646228e+01,2.959174247549232462e+01
1.009799957275390625e+00,8.484795570373535156e+00,2.897276321561248125e+01,3.018961346179277427e+01
1.049400091171264648e+00,8.649564743041992188e+00,2.953539641524966086e+01,3.077587713339411479e+01
1.088999986648559570e+00,8.811252593994140625e+00,3.008750545483272631e+01,3.135117478594613161e+01
1.128600120544433594e+00,8.970026969909667969e+00,3.062966778054702033e+01,3.191610778244987756e+01
1.168200016021728516e+00,9.126038551330566406e+00,3.116239848523393974e+01,3.247121272401950165e+01
