name,Rd_star,Mstar,hz_star,Rd_gas,Mgas,hz_gas
CamB,0.47,37500000.000000,0.09,0.85,15960000.000000,0.15
D512-2,1.24,162500000.000000,0.25,2.23,107730000.000000,0.15
D564-8,0.61,16500000.000000,0.12,1.10,38570000.000000,0.15
D631-7,0.70,98000000.000000,0.14,1.26,385700000.000000,0.15
DDO064,0.69,78500000.000000,0.14,1.24,280630000.000000,0.15
DDO154,0.37,26500000.000000,0.07,0.67,365750000.000000,0.15
DDO161,1.22,274000000.000000,0.24,2.20,1.83274e+09,0.15
DDO168,1.02,95500000.000000,0.20,1.84,549290000.000000,0.15
DDO170,1.95,271500000.000000,0.39,3.51,977550000.000000,0.15
ESO079-G014,5.08,2.58665e+10,1.02,9.14,4.1762e+09,0.15
ESO116-G012,1.51,2.146e+09,0.30,2.72,1.44039e+09,0.15
ESO444-G084,0.46,35500000.000000,0.09,0.83,179550000.000000,0.15
ESO563-G021,5.45,1.55588e+11,1.09,9.81,3.23163e+10,0.15
F561-1,2.79,2.0385e+09,0.56,5.02,2.15726e+09,0.15
F563-1,3.52,951500000.000000,0.70,6.34,4.256e+09,0.15
F563-V1,3.79,770000000.000000,0.76,6.82,811300000.000000,0.15
F563-V2,2.43,1.493e+09,0.49,4.37,2.88477e+09,0.15
F565-V2,2.17,279500000.000000,0.43,3.91,929670000.000000,0.15
F567-2,3.08,1.067e+09,0.62,5.54,3.25717e+09,0.15
F568-1,5.18,3.126e+09,1.04,9.32,5.98234e+09,0.15
F568-3,4.99,4.173e+09,1.00,8.98,4.24935e+09,0.15
F568-V1,2.85,1.9125e+09,0.57,5.13,3.31303e+09,0.15
F571-8,3.56,5.082e+09,0.71,6.41,2.37006e+09,0.15
F571-V1,2.47,924500000.000000,0.49,4.45,1.61861e+09,0.15
F574-1,4.46,3.2685e+09,0.89,8.03,4.68692e+09,0.15
F574-2,3.76,1.4385e+09,0.75,6.77,2.26233e+09,0.15
F579-V1,3.37,5.924e+09,0.67,6.07,2.98585e+09,0.15
F583-1,2.36,493000000.000000,0.47,4.25,2.82758e+09,0.15
F583-4,1.93,857500000.000000,0.39,3.47,852530000.000000,0.15
IC2574,2.78,508000000.000000,0.56,5.00,1.37788e+09,0.15
IC4202,4.78,8.98745e+10,0.96,8.60,1.63936e+10,0.15
KK98-251,1.34,42500000.000000,0.27,2.41,152950000.000000,0.15
NGC0024,1.34,1.9445e+09,0.27,2.41,899080000.000000,0.15
NGC0055,6.11,2.314e+09,1.22,11.00,2.08145e+09,0.15
NGC0100,1.66,1.616e+09,0.33,2.99,2.6467e+09,0.15
NGC0247,3.74,3.666e+09,0.75,6.73,2.32218e+09,0.15
NGC0289,6.74,3.60325e+10,1.35,12.13,3.65338e+10,0.15
NGC0300,1.75,1.461e+09,0.35,3.15,1.24488e+09,0.15
NGC0801,8.72,1.56285e+11,1.74,15.70,3.08573e+10,0.15
NGC0891,2.55,6.917e+10,0.51,4.59,5.93446e+09,0.15
NGC1003,1.61,3.41e+09,0.32,2.90,7.8204e+09,0.15
NGC1090,3.53,3.60225e+10,0.71,6.35,1.16814e+10,0.15
NGC1705,0.39,266500000.000000,0.08,0.70,184870000.000000,0.15
NGC2366,0.65,118000000.000000,0.13,1.17,860510000.000000,0.15
NGC2403,1.39,5.0205e+09,0.28,2.50,4.25467e+09,0.15
NGC2683,2.18,4.02075e+10,0.44,3.92,1.86998e+09,0.15
NGC2841,3.64,9.40605e+10,0.73,6.55,1.30008e+10,0.15
NGC2903,2.33,4.09315e+10,0.47,4.19,3.39416e+09,0.15
NGC2915,0.55,320500000.000000,0.11,0.99,675640000.000000,0.15
NGC2955,18.76,1.59711e+11,3.75,33.77,3.85022e+10,0.15
NGC2976,1.01,1.6855e+09,0.20,1.82,228760000.000000,0.15
NGC2998,6.20,7.5451e+10,1.24,11.16,3.11898e+10,0.15
NGC3109,1.56,97000000.000000,0.31,2.81,634410000.000000,0.15
NGC3198,3.14,1.91395e+10,0.63,5.65,1.44558e+10,0.15
NGC3521,2.40,4.2418e+10,0.48,4.32,5.52482e+09,0.15
NGC3726,3.40,3.5117e+10,0.68,6.12,8.60909e+09,0.15
NGC3741,0.20,14000000.000000,0.04,0.36,242060000.000000,0.15
